what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1351948131049
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351948131049
java.specification.version,sysinfo,,,"1.7",1351948131049
java.vendor,sysinfo,,,"Oracle Corporation",1351948131049
java.version,sysinfo,,,"1.7.0_06",1351948131049
java.vm.info,sysinfo,,,"mixed mode",1351948131049
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351948131049
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351948131049
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351948131049
java.vm.specification.version,sysinfo,,,"1.7",1351948131049
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351948131049
java.vm.version,sysinfo,,,"23.2-b09",1351948131049
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1351948131181
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1351948131198
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1351948131509
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1351948131800
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1351948131845
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1351948131855
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1351948131877
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1351948131890
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1351948131915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351948147351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351948147369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351948149592
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351948161316
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351948162042
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1351948162050
